mode,task_id,episode,initial_state_id,environment_step,selected_horizon,execution_horizon,wall_ms,policy_ms,server_ms,predictor_ms,batched_teacher_ms,harp_residual_ms,harp_gripper_event_ms,selector_json
ordered_transformer,0,336,336,10,25,25,99.65379163622856,92.1009317971766,97.3454280756414,5.2052331157028675,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.15958143770694733,0.1368253082036972,0.16201373934745789,0.22942142188549042,0.3121580183506012],""ordered_continuation_logits"":[1.6613454818725586,1.6374952793121338,1.2068085670471191,0.3079489767551422],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":10,""episode_progress"":0.01,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,35,15,15,90.97402170300484,85.37043677642941,89.22372991219163,2.81068729236722,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.14309433102607727,0.21593886613845825,0.31209614872932434,0.21546821296215057,0.11340229958295822],""ordered_continuation_logits"":[1.7898235321044922,1.087982177734375,0.05235276371240616,-0.6418716311454773],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.035,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,50,25,25,89.10425612702966,84.32837203145027,87.89072278887033,2.702687866985798,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.12494148313999176,0.12343191355466843,0.21385326981544495,0.2185371369123459,0.31923624873161316],""ordered_continuation_logits"":[1.946445345878601,1.8065499067306519,0.9221470355987549,0.37897560000419617],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.05,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,75,15,15,96.47163283079863,89.66571185737848,94.86499382182956,2.9307417571544647,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.26986077427864075,0.2791922390460968,0.2891837954521179,0.10397855937480927,0.05778463929891586],""ordered_continuation_logits"":[0.9953291416168213,0.47944918274879456,-0.5809286236763,-0.5874616503715515],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.075,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,90,25,25,97.27371484041214,90.38819605484605,95.87603621184826,3.933156840503216,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.16595984995365143,0.051487457007169724,0.13716107606887817,0.30433303117752075,0.34105855226516724],""ordered_continuation_logits"":[1.6145356893539429,2.7212231159210205,1.548701286315918,0.11393150687217712],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.09,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,115,20,20,100.2864558249712,94.03603989630938,98.62732188776135,6.005756091326475,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.14876273274421692,0.1333923637866974,0.12203150242567062,0.4190632104873657,0.17675013840198517],""ordered_continuation_logits"":[1.7443382740020752,1.6829584836959839,1.5856481790542603,-0.8632846474647522],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.115,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,135,20,20,95.9363398142159,89.91466602310538,94.68345157802105,3.590709064155817,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.13271842896938324,0.17200146615505219,0.1580156534910202,0.312300443649292,0.22496405243873596],""ordered_continuation_logits"":[1.877134084701538,1.396811842918396,1.2237963676452637,-0.32802507281303406],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.135,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,155,20,20,95.16054904088378,88.9687049202621,93.97998498752713,2.888054121285677,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.13098135590553284,0.15373143553733826,0.20085804164409637,0.2928812503814697,0.2215479165315628],""ordered_continuation_logits"":[1.8923096656799316,1.537476897239685,0.9404594898223877,-0.27912840247154236],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.155,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,175,20,20,88.2356851361692,83.74143904075027,87.23450498655438,2.752783242613077,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.10103268921375275,0.18304114043712616,0.23018454015254974,0.2889864146709442,0.19675524532794952],""ordered_continuation_logits"":[2.185802459716797,1.3638660907745361,0.7467955350875854,-0.38441911339759827],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.175,""budget_fraction"":0.5}"
ordered_transformer,0,336,336,195,20,20,98.86686503887177,91.53055679053068,97.41125674918294,3.570547327399254,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.1378566473722458,0.15840716660022736,0.19161798059940338,0.25921395421028137,0.2529042661190033],""ordered_continuation_logits"":[1.8332072496414185,1.4912347793579102,0.9830517768859863,-0.02464285120368004],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.195,""budget_fraction"":0.5}"
