mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,266,13,13,20.384615384615383,"{""15"": 2, ""20"": 8, ""25"": 3}",1256.514307577163,1256.514307577163,11505.341067910194,1173.0848685838282,1237.2153182514012,49.61650352925062,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,269,13,13,19.923076923076923,"{""14"": 1, ""15"": 3, ""20"": 5, ""25"": 4}",1554.0109192952514,1554.0109192952514,12020.045255776495,1398.2808189466596,1529.7043956816196,80.04330331459641,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,270,13,13,20.0,"{""10"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1573.2241538353264,1573.2241538353264,12368.554851971567,1411.678175907582,1548.2364264316857,80.37099102512002,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,270,13,13,20.0,"{""10"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1600.7121792063117,1600.7121792063117,12515.28336899355,1435.9369412995875,1574.7905769385397,80.53691126406193,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1595.8925425074995,1595.8925425074995,12528.939555864781,1427.8336209245026,1569.8738819919527,83.03807070478797,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,19.692307692307693,"{""6"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1535.2488877251744,1535.2488877251744,12485.831058118492,1386.464481242001,1510.866987053305,73.9711313508451,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,287,15,15,18.466666666666665,"{""2"": 1, ""5"": 1, ""15"": 2, ""20"": 7, ""25"": 4}",1836.6170763038099,1836.6170763038099,13588.162187952548,1647.5035208277404,1807.8014412894845,92.61528728529811,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,288,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1697.6204477250576,1697.6204477250576,13464.10178905353,1524.0927883423865,1671.4186170138419,86.84289362281561,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,360,18,18,19.72222222222222,"{""5"": 1, ""15"": 3, ""20"": 9, ""25"": 5}",2178.8408500142395,2178.8408500142395,14464.278971776366,1955.5809823796153,2144.7939090430737,110.66603800281882,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,351,18,18,18.944444444444443,"{""5"": 2, ""15"": 3, ""16"": 1, ""20"": 6, ""25"": 6}",2168.199696112424,2168.199696112424,14009.571278002113,1949.0370005369186,2136.000188998878,110.98865093663335,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,341,341,1,0,276,15,15,17.733333333333334,"{""1"": 1, ""5"": 2, ""15"": 2, ""20"": 5, ""25"": 5}",1808.2069749943912,1808.2069749943912,12249.51186729595,1624.0782435052097,1780.8640557341278,93.71467586606741,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,341,341,1,0,285,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1663.1956174969673,1663.1956174969673,12359.899189323187,1494.0862278454006,1636.123277246952,84.7788224928081,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,342,342,1,0,318,16,16,20.0,"{""15"": 4, ""20"": 8, ""25"": 4}",1986.4845196716487,1986.4845196716487,13427.540600765496,1780.3493812680244,1956.0722024179995,104.7857510857284,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,342,342,1,0,313,17,17,17.823529411764707,"{""5"": 1, ""8"": 1, ""10"": 1, ""15"": 4, ""20"": 6, ""25"": 4}",2067.1020024456084,2067.1020024456084,13450.174674857408,1852.7620495297015,2035.381811670959,114.78564701974392,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,343,343,1,0,343,17,17,19.58823529411765,"{""10"": 1, ""13"": 1, ""15"": 3, ""20"": 7, ""25"": 5}",2066.6962857358158,2066.6962857358158,13861.861591227353,1854.7554537653923,2034.1264228336513,105.39735900238156,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,343,343,1,0,324,16,16,20.3125,"{""15"": 4, ""20"": 7, ""25"": 5}",1951.4383571222425,1951.4383571222425,13310.038692317903,1754.052024334669,1921.8954620882869,98.90357917174697,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,344,344,0,1,1000,48,48,20.625,"{""10"": 1, ""15"": 2, ""20"": 35, ""25"": 10}",5823.328015394509,5823.328015394509,28144.41913086921,5235.37795105949,5734.9114855751395,297.225923743099,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,344,344,0,1,1000,48,48,20.625,"{""10"": 1, ""15"": 2, ""20"": 35, ""25"": 10}",5872.828947380185,5872.828947380185,28341.691439971328,5273.100715596229,5781.719755847007,297.4816579371691,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,345,345,1,0,278,14,14,19.142857142857142,"{""10"": 1, ""13"": 1, ""15"": 2, ""20"": 7, ""25"": 3}",1719.9577153660357,1719.9577153660357,12267.390361055732,1543.4767021797597,1692.5682527944446,86.51466062292457,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,345,345,1,0,278,14,14,19.642857142857142,"{""10"": 1, ""15"": 2, ""20"": 8, ""25"": 3}",1722.02871972695,1722.02871972695,12143.522791098803,1545.8206674084067,1694.7177448309958,90.57891042903066,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,336,336,1,0,250,24,24,10.0,"{""5"": 15, ""15"": 4, ""20"": 4, ""25"": 1}",2865.193576551974,2865.193576551974,12895.330928266048,2580.701089464128,2823.2039189897478,144.2697923630476,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,336,336,1,0,246,19,19,12.421052631578947,"{""5"": 8, ""6"": 1, ""10"": 1, ""15"": 3, ""20"": 3, ""25"": 3}",2272.008023224771,2272.008023224771,12194.564993027598,2042.4699559807777,2237.182699609548,119.6602275595069,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,337,337,1,0,260,20,20,12.5,"{""5"": 9, ""10"": 1, ""15"": 3, ""20"": 5, ""25"": 2}",2473.7852248363197,2473.7852248363197,12567.497175186872,2233.2702428102493,2436.8642256595194,121.96576874703169,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,337,337,1,0,260,20,20,13.0,"{""5"": 8, ""10"": 1, ""15"": 3, ""20"": 7, ""25"": 1}",2375.628828536719,2375.628828536719,12404.627223033458,2133.2380501553416,2339.7434670478106,121.84019153937697,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,338,338,1,0,251,23,23,11.08695652173913,"{""5"": 13, ""15"": 3, ""20"": 6, ""25"": 1}",2741.927350871265,2741.927350871265,12845.553839113563,2467.556551564485,2701.119227334857,140.15804463997483,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,338,338,1,0,251,23,23,10.478260869565217,"{""5"": 13, ""6"": 1, ""15"": 3, ""20"": 5, ""25"": 1}",2687.185026705265,2687.185026705265,12845.175744965672,2427.6259834878147,2647.6933951489627,130.35063352435827,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,339,339,1,0,257,22,22,11.227272727272727,"{""2"": 1, ""5"": 11, ""15"": 4, ""20"": 4, ""25"": 2}",2656.5248551778495,2656.5248551778495,12925.702788867056,2387.4648991040885,2617.5985247828066,132.21174804493785,nan,nan,nan,nan,nan,nan,nan,nan,nan
