mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,266,13,13,20.384615384615383,"{""15"": 2, ""20"": 8, ""25"": 3}",1577.388955745846,1577.388955745846,11918.770487885922,1423.9713591523468,1553.1671671196818,81.17170399054885,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,257,13,13,19.615384615384617,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1564.0235058963299,1564.0235058963299,11991.62826500833,1410.5494902469218,1540.2699075639248,79.84046172350645,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,270,13,13,20.0,"{""10"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1599.8149188235402,1599.8149188235402,12417.769771069288,1438.6874032206833,1575.0108566135168,81.98745362460613,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,270,13,13,20.0,"{""10"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1578.101315535605,1578.101315535605,12373.491233214736,1415.6799395568669,1553.0767007730901,80.6063562631607,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1587.8883572295308,1587.8883572295308,12571.835127659142,1426.5736229717731,1562.7870433963835,81.77966251969337,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1557.0942992344499,1557.0942992344499,12531.129790004343,1403.0209952034056,1532.5962216593325,81.4253413118422,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,412,21,21,19.523809523809526,"{""5"": 1, ""15"": 4, ""20"": 11, ""25"": 5}",2485.2772569283843,2485.2772569283843,16666.820183862,2242.349796462804,2445.693795569241,123.75261960551143,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,288,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1695.4604680649936,1695.4604680649936,13535.884823650122,1522.5278013385832,1669.7032409720123,87.76838891208172,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,360,18,18,19.72222222222222,"{""5"": 1, ""15"": 3, ""20"": 9, ""25"": 5}",2201.5496804378927,2201.5496804378927,14451.73914032057,1975.1088726334274,2167.078897356987,112.78298310935497,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,360,18,18,19.72222222222222,"{""5"": 1, ""15"": 3, ""20"": 9, ""25"": 5}",2199.210848659277,2199.210848659277,14463.376767933369,1972.855866421014,2165.3459537774324,115.0107029825449,nan,nan,nan,nan,nan,nan,nan,nan,nan
