mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,266,13,13,20.384615384615383,"{""15"": 2, ""20"": 8, ""25"": 3}",1592.7297994494438,1592.7297994494438,12169.96950795874,1425.8817289955914,1565.5657388269901,80.99449286237359,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,260,13,13,19.23076923076923,"{""5"": 1, ""15"": 2, ""20"": 7, ""25"": 3}",1578.6661165766418,1578.6661165766418,12043.219121638685,1418.395803309977,1552.0548676140606,76.36982761323452,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,270,13,13,20.0,"{""10"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1595.3637706115842,1595.3637706115842,12385.84555592388,1431.9838201627135,1569.5232735015452,83.56699347496033,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,270,13,13,20.0,"{""10"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1591.038953512907,1591.038953512907,12384.087529964745,1425.0610079616308,1565.3856443241239,81.19077747687697,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1505.3649982437491,1505.3649982437491,12372.48427607119,1360.0724190473557,1477.9276587069035,73.14435858279467,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1599.1343632340431,1599.1343632340431,12452.012910041958,1434.3890026211739,1573.6878607422113,81.9558477960527,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,328,16,16,20.0,"{""15"": 4, ""20"": 8, ""25"": 4}",1963.1145084276795,1963.1145084276795,13908.900508191437,1761.2658543512225,1932.4602140113711,99.46165233850479,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,288,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1706.2718626111746,1706.2718626111746,13211.530818138272,1532.7462474815547,1679.0439561009407,86.91506600007415,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,360,18,18,19.72222222222222,"{""5"": 1, ""15"": 3, ""20"": 9, ""25"": 5}",2179.6806221827865,2179.6806221827865,14229.7897702083,1958.8080453686416,2146.5597241185606,114.41890196874738,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,360,18,18,19.72222222222222,"{""5"": 1, ""15"": 3, ""20"": 9, ""25"": 5}",2186.9304394349456,2186.9304394349456,14064.023495651782,1972.071684896946,2150.949865113944,111.90202413126826,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,341,341,1,0,317,16,16,19.6875,"{""5"": 1, ""15"": 3, ""20"": 7, ""25"": 5}",1960.5489373207092,1960.5489373207092,12898.751894943416,1761.0752913169563,1929.5356892980635,100.03177309408784,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,341,341,1,0,285,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1711.4689955487847,1711.4689955487847,12199.399242643267,1535.6266028247774,1685.0810572504997,87.39136811345816,nan,nan,nan,nan,nan,nan,nan,nan,nan
