mode,task_id,episodes,success_rate,timeout_rate,calls_per_episode,successful_calls_per_episode,timeout_calls_per_episode,sampled_action_chunks_per_episode,avg_h,h_distribution,actual_wall_ms_per_episode,policy_rpc_wall_ms_per_episode,policy_rpc_wall_ms_per_call,successful_policy_rpc_wall_ms_per_episode,timeout_policy_rpc_wall_ms_per_episode,actual_episode_elapsed_ms_per_episode,actual_episode_elapsed_episodes,successful_episode_elapsed_ms_per_episode,timeout_episode_elapsed_ms_per_episode,actual_policy_ms_per_episode,policy_ms_per_call,successful_policy_ms_per_episode,timeout_policy_ms_per_episode,actual_server_ms_per_episode,server_ms_per_call,predictor_ms_per_episode,predictor_ms_per_call,batched_teacher_ms_per_episode
exact_batched_mc_v2,0,100,0.98,0.02,34.53,32.96938775510204,111.0,690.6,8.836663770634232,"{""3"": 104, ""4"": 16, ""5"": 44, ""6"": 79, ""7"": 163, ""8"": 495, ""9"": 1178, ""10"": 1374}",4565.397096648812,4565.397096648812,132.2153807312138,4360.792374941615,14591.028460301459,16055.935976579785,100,15550.002191918997,40846.69142495841,4277.081271391362,123.86566091489608,4085.308750958315,13673.934772610664,4524.294293951243,131.0250302331666,nan,nan,3691.800447963178
exact_batched_mc_v2,1,100,0.98,0.02,30.2,28.551020408163264,111.0,604.0,8.816556291390729,"{""3"": 84, ""4"": 21, ""5"": 27, ""6"": 48, ""7"": 133, ""8"": 461, ""9"": 1212, ""10"": 1034}",3961.957223843783,3961.957223843783,131.19063655111864,3744.6949300261176,14607.809620909393,14305.796629227698,100,13848.957064789625,36690.935286693275,3715.887769088149,123.04264136053473,3512.272827707383,13693.019896745682,3928.6864944919944,130.0889567712581,nan,nan,3212.4307629838586
exact_batched_mc_v2,2,100,0.99,0.01,29.28,28.454545454545453,111.0,585.6,8.835040983606557,"{""3"": 92, ""4"": 26, ""5"": 27, ""6"": 57, ""7"": 128, ""8"": 421, ""9"": 1022, ""10"": 1155}",3779.2202371172607,3779.2202371172607,129.07172940974252,3676.655178889632,13933.16100165248,9431.220390368253,100,9241.950294134593,28168.959917500615,3549.0254984609783,121.20988724251976,3452.13710433907,13140.976516529918,3745.6446455791593,127.92502204846855,nan,nan,3083.707543630153
exact_batched_mc_v2,3,100,1.0,0.0,26.33,26.33,nan,526.6,8.80402582605393,"{""3"": 83, ""4"": 27, ""5"": 27, ""6"": 58, ""7"": 106, ""8"": 306, ""9"": 1109, ""10"": 917}",3429.424969200045,3429.424969200045,130.24781500949658,3429.424969200045,nan,10079.640610180795,100,10079.640610180795,nan,3218.0230404622853,122.21887734380118,3218.0230404622853,nan,3398.692859336734,129.0806251172326,nan,nan,2787.94015776366
exact_batched_mc_v2,4,100,0.97,0.03,30.26,27.762886597938145,111.0,605.2,8.832782551222737,"{""3"": 90, ""4"": 28, ""5"": 36, ""6"": 55, ""7"": 141, ""8"": 405, ""9"": 1101, ""10"": 1170}",3996.8720572441816,3996.8720572441816,132.0843376485189,3666.582688189966,14676.228323330482,15428.521721754223,100,14778.471502273815,36446.81215162078,3742.5567716546357,123.67999906327283,3433.784309160156,13726.1997256428,3960.975231938064,130.89805789616867,nan,nan,3222.3471944220364
exact_batched_mc_v2,5,100,0.91,0.09,28.78,20.64835164835165,111.0,575.6,8.804725503822098,"{""1"": 1, ""2"": 1, ""3"": 92, ""4"": 26, ""5"": 43, ""6"": 63, ""7"": 116, ""8"": 353, ""9"": 1102, ""10"": 1081}",3635.3906437009573,3635.3906437009573,126.31656162963715,2613.949589758784,13963.29463356071,10436.63763107732,100,8602.93279745831,28977.430948780642,3427.2137071192265,119.08317258927124,2464.637302640048,13159.930685742034,3602.5063576363027,125.17395266283192,nan,nan,3031.7837620712817
exact_batched_mc_v2,6,100,0.92,0.08,34.41,27.75,111.0,688.2,8.862830572507992,"{""3"": 106, ""4"": 21, ""5"": 30, ""6"": 85, ""7"": 177, ""8"": 411, ""9"": 1202, ""10"": 1409}",4472.739810999483,4472.739810999483,129.98372016854063,3624.3120251911814,14229.65934779495,13979.581070225686,100,12415.106199398313,31971.042084740475,4198.965679854155,122.02748270427651,3400.761987730537,13378.30813927576,4432.451789677143,128.81289711354674,nan,nan,3646.7221129126847
exact_batched_mc_v2,7,100,0.98,0.02,32.51,30.908163265306122,111.0,650.2,8.83482005536758,"{""3"": 96, ""4"": 19, ""5"": 34, ""6"": 80, ""7"": 154, ""8"": 474, ""9"": 1102, ""10"": 1292}",4228.410419262946,4228.410419262946,130.0649160031666,4019.673921414936,14456.498813815415,12674.1809819825,100,12293.574169449204,31323.914796113968,3970.8114823698997,122.1412329243279,3775.1973687614104,13555.903049185872,4190.8153968676925,128.90850190303576,nan,nan,3444.9732052721083
exact_batched_mc_v2,8,100,0.82,0.18,60.71,49.670731707317074,111.0,1214.2,8.902322516883546,"{""2"": 1, ""3"": 111, ""4"": 41, ""5"": 59, ""6"": 137, ""7"": 265, ""8"": 707, ""9"": 2581, ""10"": 2169}",7851.196459773928,7851.196459773928,129.32295272235098,6449.124040559116,14238.415258419183,17420.053868684918,100,14806.695878028688,29325.35138167441,7366.206538658589,121.33431952987299,6046.350699236117,13378.883140472075,7781.31691198796,128.17191421492277,nan,nan,6364.48081439361
exact_batched_mc_v2,9,100,0.89,0.11,39.46,30.651685393258425,110.72727272727273,789.2,8.862899138367968,"{""1"": 1, ""2"": 2, ""3"": 105, ""4"": 34, ""5"": 44, ""6"": 82, ""7"": 181, ""8"": 487, ""9"": 1458, ""10"": 1552}",5154.046254400164,5154.046254400164,130.61445145464177,4003.4709108386483,14463.246761397882,13849.8207879439,100,11583.877050830575,32183.36557004262,4833.59859040007,122.49362874810112,3755.79636502132,13553.998413919047,5107.805699892342,129.44261783812323,nan,nan,4176.612727046013
