mode,task_id,episodes,success_rate,timeout_rate,calls_per_episode,successful_calls_per_episode,timeout_calls_per_episode,sampled_action_chunks_per_episode,avg_h,h_distribution,actual_wall_ms_per_episode,policy_rpc_wall_ms_per_episode,policy_rpc_wall_ms_per_call,successful_policy_rpc_wall_ms_per_episode,timeout_policy_rpc_wall_ms_per_episode,actual_episode_elapsed_ms_per_episode,actual_episode_elapsed_episodes,successful_episode_elapsed_ms_per_episode,timeout_episode_elapsed_ms_per_episode,actual_policy_ms_per_episode,policy_ms_per_call,successful_policy_ms_per_episode,timeout_policy_ms_per_episode,actual_server_ms_per_episode,server_ms_per_call,predictor_ms_per_episode,predictor_ms_per_call,batched_teacher_ms_per_episode
original,0,100,0.97,0.03,65.23,61.123711340206185,198.0,65.23,5.0,"{""5"": 6523}",6776.93164890632,6776.93164890632,103.89286599580439,6355.080039403641,20416.80035615961,19228.03716108203,100,18436.097084285364,44834.09964417418,6092.712876237929,93.40353941802742,5712.330961503933,18391.72811930378,6689.21822598204,102.54818681560693,nan,nan,nan
original,1,100,0.98,0.02,54.69,51.765306122448976,198.0,54.69,5.0,"{""5"": 5469}",5479.487167354673,5479.487167354673,100.19175657989894,5206.344257051847,18863.489772193134,16722.124385666102,100,16199.333823000898,42338.8619562611,4957.2598394192755,90.64289338854041,4707.240762379097,17208.19461438805,5401.961994040757,98.77421821248414,nan,nan,nan
original,2,100,0.98,0.02,53.24,50.285714285714285,198.0,53.24,5.0,"{""5"": 5324}",5283.386924620718,5283.386924620718,99.23716988393535,5024.601827717709,17963.856672868133,11820.52729992196,100,11363.799933857303,34200.16823709011,4781.927864663303,89.8183295391304,4541.557659490072,16560.067918151617,5210.855009499937,97.87481234973586,nan,nan,nan
original,3,100,0.98,0.02,51.04,48.04081632653061,198.0,51.04,5.0,"{""5"": 5104}",5169.1780874319375,5169.1780874319375,101.27700014561006,4871.049775513915,19777.46537141502,12871.269549187273,100,12341.854213432845,38812.621001154184,4662.932216525078,91.3583898221998,4393.578984128425,17861.24060396105,5100.610223524272,99.93358588409625,nan,nan,nan
original,4,100,0.98,0.02,51.95,48.96938775510204,198.0,51.95,5.0,"{""5"": 5195}",5182.359943948686,5182.359943948686,99.75668804521051,4886.643944954386,19672.443894669414,17162.15141568333,100,16647.14322569875,42397.552724927664,4688.458417598158,90.24944018475762,4421.425014544202,17773.09516724199,5111.3368767127395,98.38954526877265,nan,nan,nan
original,5,100,0.89,0.11,53.41,35.53932584269663,198.0,53.41,5.0,"{""5"": 5341}",5182.311557587236,5182.311557587236,97.02886271460842,3432.9703201571206,19336.072478612714,12983.627355527133,100,10028.295038037755,36894.952469759366,4695.0205280818045,87.90527107436444,3114.9030761856043,17479.60718433288,5125.028360262513,95.95634450968944,nan,nan,nan
original,6,100,0.89,0.11,64.64,48.157303370786515,198.0,64.64,5.0,"{""5"": 6464}",6573.904779180884,6573.904779180884,101.7002595789122,4878.702931608377,20289.628818631172,17047.887508943677,100,14128.876692856129,40665.33865728839,5901.428789384663,91.29685627142115,4383.022571191861,18186.715463853696,6504.335647244006,100.6240044437501,nan,nan,nan
original,7,100,0.99,0.01,55.55,54.111111111111114,198.0,55.55,5.0,"{""5"": 5555}",5455.73690386489,5455.73690386489,98.21308557812584,5302.500748705834,20626.116264611483,14388.208343684673,100,14136.6978684873,39287.74538822472,4937.32050569728,88.88065716826787,4801.043707218887,18428.72355505824,5402.304535340518,97.251206756805,nan,nan,nan
original,8,100,0.66,0.34,125.14,87.60606060606061,198.0,125.14,5.0,"{""5"": 12514}",11962.841101344675,11962.841101344675,95.59566166968735,8466.082011801049,18750.6675692823,24052.38519102335,100,17857.685622646277,36077.390235520026,10863.371431790292,86.80974454043705,7674.892668132529,17052.77138477301,11813.386243097484,94.40136042110824,nan,nan,nan
original,9,100,0.95,0.05,60.29,53.04210526315789,198.0,60.29,5.0,"{""5"": 6029}",5838.579391539097,5838.579391539097,96.84158884622818,5161.640577802533,18700.416852533817,14635.412202775478,100,13426.140569679832,37611.573231592774,5293.571650292724,87.80181871442568,4676.8184153069005,17011.883115023375,5763.244911953807,95.59205360679726,nan,nan,nan
fixed_h9,0,100,0.99,0.01,32.6,31.818181818181817,110.0,32.6,9.0,"{""9"": 3260}",3249.006057102233,3249.006057102233,99.66276248779856,3167.8427807949106,11284.170411527157,15080.313239973038,100,14868.662861448647,36033.70071388781,2936.4358337782323,90.07471882755314,2863.709926266562,10136.30067743361,3206.8717283569276,98.37029841585668,nan,nan,nan
fixed_h9,1,100,1.0,0.0,28.49,28.49,nan,28.49,9.0,"{""9"": 2849}",2690.70940842852,2690.70940842852,94.44399467983573,2690.70940842852,nan,13720.41013205424,100,13720.41013205424,nan,2458.1699702329934,86.28185223703031,2458.1699702329934,nan,2656.448058988899,93.24142011193047,nan,nan,nan
fixed_h9,2,100,0.99,0.01,29.39,28.575757575757574,110.0,29.39,9.0,"{""9"": 2939}",2881.8101227656007,2881.8101227656007,98.05410421114667,2815.5190609395504,9444.625243544579,9085.663150642067,100,8930.39856610274,24456.857020035386,2612.1920935995877,88.88030260631466,2549.654402854768,8803.423477336764,2846.1457805894315,96.84061859780304,nan,nan,nan
fixed_h9,3,100,0.99,0.01,27.05,26.21212121212121,110.0,27.05,9.0,"{""9"": 2705}",2633.3326653391123,2633.3326653391123,97.3505606410023,2557.4778703728107,10142.957367002964,10028.900349847972,100,9830.613702799033,29659.27840769291,2393.65351555869,88.48996360660591,2324.04566452735,9284.830767661333,2602.3304418846965,96.20445256505347,nan,nan,nan
fixed_h9,4,100,0.93,0.07,32.68,26.86021505376344,110.0,32.68,9.0,"{""9"": 3268}",3130.1953776739538,3130.1953776739538,95.78321229112466,2579.911760845652,10441.106286964246,15561.013097129762,100,14183.055457889393,33868.164589894666,2846.717943586409,87.10887220276649,2345.5275917846348,9505.38976038141,3089.4330434314907,94.53589484184488,nan,nan,nan
fixed_h9,5,100,0.92,0.08,27.97,20.83695652173913,110.0,27.97,9.0,"{""9"": 2797}",2700.333099961281,2700.333099961281,96.54390775692816,1993.8997790095923,10824.3162909057,9941.180219370872,100,8459.14621780748,26984.571237349883,2453.468307685107,87.71785154397952,1815.7465071417391,9787.269013933837,2665.246777944267,95.28948079886545,nan,nan,nan
fixed_h9,6,100,0.93,0.07,31.8,25.913978494623656,110.0,31.8,9.0,"{""9"": 3180}",3092.42754785344,3092.42754785344,97.2461493035673,2491.980780837356,11069.79173820998,12873.648383822292,100,11570.352727927828,30188.862097848738,2804.054749496281,88.17782231120381,2265.0172875853636,9965.552457741329,3052.7879810519516,95.99962204565885,nan,nan,nan
fixed_h9,7,100,0.96,0.04,32.84,29.625,110.0,32.84,9.0,"{""9"": 3284}",3023.279160056263,3023.279160056263,92.06087576298,2724.009880136388,10205.741878133267,12046.160871926695,100,11380.326126081249,28026.194772217423,2772.779661323875,84.4329982132727,2499.1810666203187,9339.145934209228,2985.576700139791,90.91281060108986,nan,nan,nan
