task_id,task_description,baseline_trials,adaptive_trials,baseline_success_rate,adaptive_success_rate,success_change_pp,baseline_calls_per_episode,adaptive_calls_per_episode,calls_reduction_pct,baseline_policy_total_ms_per_episode,adaptive_policy_total_ms_per_episode,policy_total_speedup_pct,baseline_server_total_ms_per_episode,adaptive_server_total_ms_per_episode,server_total_speedup_pct,adaptive_wall_total_ms_per_episode,adaptive_avg_replan_horizon
0,put both the alphabet soup and the tomato sauce in the basket,49,20,1.0,1.0,0.0,56.89795918367347,46.5,18.27474892395983,4473.6498090989735,3391.3,24.193887659637056,4786.877916023439,3602.48,24.742597091495146,3648.73,6.05
1,put both the cream cheese box and the butter in the basket,50,20,1.0,1.0,0.0,52.5,46.35,11.714285714285712,4110.952296890318,3374.36,17.917802097764667,4391.8588130921125,3587.99,18.303612372414687,3633.36,5.41
2,turn on the stove and put the moka pot on it,50,20,1.0,0.95,-5.000000000000004,50.44,56.3,-11.61776367961935,3916.3531452044845,4088.15,-4.386653818639371,4183.192769736052,4343.06,-3.8216558275901793,4399.52,5.57
3,put the black bowl in the bottom drawer of the cabinet and close it,50,20,1.0,1.0,0.0,48.9,43.25,11.554192229038852,3803.835379779339,3143.37,17.36314308685074,4062.748271152377,3333.44,17.9511065534344,3376.62,5.7
4,put the white mug on the left plate and put the yellow and white mug on the right plate,50,20,1.0,1.0,0.0,48.2,38.95,19.190871369294605,3768.5672974959016,2827.11,24.981835885522628,4029.5523860305548,2996.4,25.639383411721717,3034.52,6.23
5,pick up the book and place it in the back compartment of the caddy,50,20,0.92,0.95,2.9999999999999916,49.42,33.65,31.910157830837722,3844.0359634906054,2442.87,36.45038643754692,4111.4305644109845,2591.92,36.95819595164862,2622.8,6.74
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,20,0.94,0.85,-8.999999999999996,58.08,63.0,-8.471074380165293,4508.626610003412,4578.84,-1.5573121500193436,4823.789530992508,4866.76,-0.8908031482594763,4919.7,6.34
7,put both the alphabet soup and the cream cheese box in the basket,50,20,1.0,1.0,0.0,55.24,46.35,16.09341057204924,4303.656160384417,3382.66,21.400319311339928,4588.893547579646,3592.23,21.719038309470562,3633.24,5.66
8,put both moka pots on the stove,50,20,0.82,0.85,3.0000000000000027,107.96,84.1,22.10077806595035,8384.476855024695,6126.27,26.93318729446291,8960.27268357575,6507.74,27.37118355863501,6579.74,6.74
9,put the yellow and white mug in the microwave and close it,50,20,0.98,0.95,-3.0000000000000027,57.52,55.55,3.424895688456199,4487.241352275014,4045.34,9.847951504791947,4793.394922204316,4291.6,10.468466094455604,4349.89,5.25
