task_id,task_description,num_trials,success_count,success_rate,episode_steps_mean,episode_steps_std,inference_calls_mean_per_episode,inference_calls_std_per_episode,effective_env_steps_per_inference_mean,policy_ms_mean_per_call_weighted,server_ms_mean_per_call_weighted,policy_ms_total_mean_per_episode,server_ms_total_mean_per_episode,total_observed_inference_rows,excluded_warmup_outlier
0,put both the alphabet soup and the tomato sauce in the basket,49,49,1.0,291.42857142857144,42.40860521071599,56.89795918367347,8.53622508443935,5.124589647045856,78.6258395429877,84.13092463599301,4473.6498090989735,4786.877916023439,2788,task0 trial0
1,put both the cream cheese box and the butter in the basket,50,50,1.0,269.58,53.41314070526091,52.5,10.636258740741502,5.137608871272531,78.3038532741013,83.6544535827069,4110.952296890318,4391.8588130921125,2625,
2,turn on the stove and put the moka pot on it,50,50,1.0,259.48,39.03395444994012,50.44,7.777300302804309,5.1464784828527685,77.64379748621103,82.93403587898595,3916.3531452044845,4183.192769736052,2522,
3,put the black bowl in the bottom drawer of the cabinet and close it,50,50,1.0,251.44,58.50065298780861,48.9,11.657186624567696,5.146409010468933,77.7880445762646,83.08278673113246,3803.835379779339,4062.748271152377,2445,
4,put the white mug on the left plate and put the yellow and white mug on the right plate,50,50,1.0,248.2,15.24204710660612,48.2,3.0983866769659336,5.150405523945621,78.18604351651248,83.60067190934761,3768.5672974959016,4029.5523860305548,2410,
5,pick up the book and place it in the back compartment of the caddy,50,46,0.92,253.96,226.09510919080049,49.42,45.3396471093457,5.187628772302572,77.78300209410371,83.19365771774554,3844.0359634906054,4111.4305644109845,2471,
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,47,0.94,297.38,185.84551541535782,58.08,37.28422722814568,5.14345606235976,77.62786862953533,83.05422746199221,4508.626610003412,4823.789530992508,2904,
7,put both the alphabet soup and the cream cheese box in the basket,50,50,1.0,283.44,48.44549927495845,55.24,9.713001595799312,5.1347239397142665,77.90833020246953,83.07193243265108,4303.656160384417,4588.893547579646,2762,
8,put both moka pots on the stove,50,41,0.82,546.58,234.8953034864682,107.96,47.12280127496667,5.074041597612712,77.66280895724987,82.99622715427704,8384.476855024695,8960.27268357575,5398,
9,put the yellow and white mug in the microwave and close it,50,49,0.98,294.6,105.3707739366092,57.52,21.125567448000066,5.128318595391374,78.01184548461428,83.3344040717023,4487.241352275014,4793.394922204316,2876,
all,all libero_10 tasks excluding task0 trial0 warmup outlier,499,482,0.9659318637274549,299.62525050100203,153.446673495717,58.519038076152306,30.7549161600642,5.13739165431117,77.92870427975956,83.27843883167917,4560.312812972463,4873.374132913554,29201,task0 trial0
